Station,Site_Timestamp,Temperature
Grundschule Aystetten,2026-04-11 22:45:00,10.91
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 22:45:00,10.73
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 23:20:00,9.97
"Königsplatz, Augsburg",2026-04-11 23:20:00,9.56
Grundschule Aystetten,2026-04-11 23:20:00,10.07
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 23:20:00,10.45
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 23:55:00,9.95
"Königsplatz, Augsburg",2026-04-11 23:55:00,9.41
Grundschule Aystetten,2026-04-11 23:55:00,9.96
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 23:55:00,10.78
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 00:35:00,9.95
"Königsplatz, Augsburg",2026-04-12 00:40:00,9.36
Grundschule Aystetten,2026-04-12 00:35:00,9.6
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 00:40:00,9.57
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 01:15:00,9.9
"Königsplatz, Augsburg",2026-04-12 01:15:00,9.07
Grundschule Aystetten,2026-04-12 01:15:00,8.83
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 01:15:00,9.59
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 01:55:00,9.84
"Königsplatz, Augsburg",2026-04-12 01:55:00,8.73
Grundschule Aystetten,2026-04-12 01:55:00,8.69
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 01:55:00,9.41
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 05:25:00,9.17
"Königsplatz, Augsburg",2026-04-12 05:25:00,8.49
Grundschule Aystetten,2026-04-12 05:25:00,8.58
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 05:25:00,9.17
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 07:35:00,9.32
"Königsplatz, Augsburg",2026-04-12 07:35:00,8.71
Grundschule Aystetten,2026-04-12 07:35:00,9.15
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 07:35:00,9.14
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 08:55:00,9.5
"Königsplatz, Augsburg",2026-04-12 08:55:00,8.78
Grundschule Aystetten,2026-04-12 08:55:00,9.76
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 08:55:00,10
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 10:05:00,10.39
